0,5,"[471, 177, 500, 273]",51
35,5,"[461, 178, 492, 272]",48,"[0, -1]"
36,5,"[462, 191, 487, 267]",48,"[1, 13]"
37,5,"[463, 177, 494, 272]",49,"[1, -14]"
38,5,"[465, 176, 495, 271]",50,"[2, -1]"
39
40
41
42,5,"[465, 177, 496, 270]",50
43
44,5,"[466, 177, 495, 270]",50
45
46,5,"[466, 177, 496, 271]",50
47,5,"[468, 175, 497, 274]",50,"[2, -2]"
48,5,"[470, 178, 498, 272]",51,"[2, 3]"
49,5,"[472, 177, 500, 273]",51,"[2, -1]"
50,5,"[475, 179, 502, 272]",52,"[3, 2]"
51,5,"[476, 179, 503, 271]",52,"[1, 0]"
52,5,"[479, 180, 504, 269]",53,"[3, 1]"
53,5,"[479, 178, 505, 269]",53,"[0, -2]"
54,5,"[477, 177, 505, 273]",53,"[-2, -1]"
55,5,"[477, 179, 506, 271]",53,"[0, 2]"
56,5,"[478, 178, 507, 271]",53,"[1, -1]"
57,5,"[478, 178, 506, 271]",53,"[0, 0]"
58,5,"[478, 177, 505, 271]",53,"[0, -1]"
59,5,"[478, 179, 505, 268]",53,"[0, 2]"
60,5,"[478, 181, 505, 268]",53,"[0, 2]"
61,5,"[476, 180, 505, 271]",53,"[-2, -1]"
62,5,"[475, 181, 506, 268]",53,"[-1, 1]"
63,5,"[475, 180, 506, 269]",53,"[0, -1]"
64,5,"[475, 180, 506, 270]",53,"[0, 0]"
65,5,"[474, 179, 505, 271]",52,"[-1, -1]"
66,5,"[474, 180, 503, 271]",52,"[0, 1]"
67,5,"[474, 180, 504, 271]",52,"[0, 0]"
68,5,"[473, 179, 503, 271]",52,"[-1, -1]"
69,5,"[474, 178, 504, 272]",52,"[1, -1]"
70,5,"[469, 185, 500, 273]",51,"[-5, 7]"
71,5,"[474, 179, 504, 272]",52,"[5, -6]"
72,5,"[471, 187, 502, 271]",52,"[-3, 8]"
73,5,"[471, 186, 502, 272]",52,"[0, -1]"
74,5,"[472, 187, 503, 272]",52,"[1, 1]"
75,5,"[474, 180, 505, 270]",52,"[2, -7]"
76,5,"[475, 180, 505, 270]",53,"[1, 0]"
77,5,"[475, 181, 504, 269]",52,"[0, 1]"
78,5,"[474, 181, 504, 270]",52,"[-1, 0]"
79,5,"[474, 180, 502, 271]",52,"[0, -1]"
80,5,"[472, 180, 501, 270]",52,"[-2, 0]"
81,5,"[467, 183, 498, 275]",50,"[-5, 3]"
82,5,"[464, 185, 497, 273]",50,"[-3, 2]"
83,5,"[465, 185, 498, 273]",50,"[1, 0]"
84,5,"[462, 184, 498, 275]",50,"[-3, -1]"
85,5,"[461, 184, 497, 274]",49,"[-1, 0]"
86,5,"[460, 183, 497, 276]",49,"[-1, -1]"
87,5,"[466, 177, 498, 272]",50,"[6, -6]"
88,5,"[465, 177, 497, 272]",50,"[-1, 0]"
89,5,"[466, 177, 495, 272]",50,"[1, 0]"
90,5,"[460, 184, 495, 276]",49,"[-6, 7]"
91,5,"[459, 181, 493, 278]",48,"[-1, -3]"
92,5,"[458, 181, 492, 277]",48,"[-1, 0]"
93,5,"[458, 180, 490, 278]",48,"[0, -1]"
94,5,"[459, 173, 492, 277]",48,"[1, -7]"
95,5,"[457, 180, 494, 278]",48,"[-2, 7]"
96,5,"[455, 180, 495, 279]",48,"[-2, 0]"
97,5,"[458, 176, 493, 273]",48,"[3, -4]"
98,5,"[459, 176, 493, 274]",48,"[1, 0]"
99,5,"[458, 171, 493, 276]",48,"[-1, -5]"
100,5,"[456, 182, 491, 278]",47,"[-2, 11]"
101,5,"[453, 177, 488, 282]",47,"[-3, -5]"
102,5,"[452, 174, 489, 284]",47,"[-1, -3]"
103,5,"[452, 173, 489, 285]",47,"[0, -1]"
104,5,"[449, 175, 489, 283]",46,"[-3, 2]"
105,5,"[449, 175, 487, 276]",46,"[0, 0]"
106,5,"[447, 180, 488, 279]",46,"[-2, 5]"
107,5,"[448, 178, 487, 281]",46,"[1, -2]"
108,5,"[449, 171, 488, 280]",46,"[1, -7]"
109,5,"[448, 176, 487, 283]",46,"[-1, 5]"
110,5,"[448, 176, 487, 284]",46,"[0, 0]"
111,5,"[445, 178, 486, 282]",45,"[-3, 2]"
112,5,"[444, 174, 485, 285]",45,"[-1, -4]"
113,5,"[441, 172, 484, 286]",44,"[-3, -2]"
114,5,"[438, 170, 483, 287]",43,"[-3, -2]"
115,5,"[436, 170, 481, 288]",43,"[-2, 0]"
116,5,"[435, 170, 478, 291]",42,"[-1, 0]"
117,5,"[434, 169, 479, 291]",42,"[-1, -1]"
118,5,"[434, 170, 476, 289]",42,"[0, 1]"
119,5,"[432, 170, 475, 291]",41,"[-2, 0]"
120,5,"[430, 169, 470, 293]",40,"[-2, -1]"
121,5,"[428, 171, 469, 294]",40,"[-2, 2]"
122,5,"[424, 168, 468, 297]",39,"[-4, -3]"
123,5,"[422, 163, 467, 299]",38,"[-2, -5]"
124,5,"[421, 172, 466, 291]",38,"[-1, 9]"
125,5,"[419, 172, 466, 294]",38,"[-2, 0]"
126,5,"[417, 172, 465, 294]",37,"[-2, 0]"
127,5,"[416, 172, 466, 298]",37,"[-1, 0]"
128,5,"[417, 168, 464, 299]",37,"[1, -4]"
129,5,"[416, 167, 466, 296]",37,"[-1, -1]"
130,5,"[410, 167, 461, 298]",36,"[-6, 0]"
131,5,"[410, 170, 461, 298]",36,"[0, 3]"
132,5,"[408, 169, 461, 298]",35,"[-2, -1]"
133,5,"[405, 168, 460, 299]",35,"[-3, -1]"
134,5,"[405, 165, 461, 300]",35,"[0, -3]"
135,5,"[403, 164, 459, 299]",34,"[-2, -1]"
136,5,"[401, 163, 457, 305]",34,"[-2, -1]"
137,5,"[400, 163, 455, 305]",33,"[-1, 0]"
138,5,"[401, 160, 456, 308]",33,"[1, -3]"
139,5,"[402, 160, 456, 306]",34,"[1, 0]"
140,5,"[403, 160, 455, 308]",34,"[1, 0]"
141,5,"[400, 162, 453, 310]",33,"[-3, 2]"
142,5,"[400, 160, 453, 312]",33,"[0, -2]"
143,5,"[398, 159, 454, 312]",33,"[-2, -1]"
144,5,"[396, 158, 453, 312]",32,"[-2, -1]"
145,5,"[393, 158, 452, 314]",32,"[-3, 0]"
146,5,"[391, 159, 452, 317]",31,"[-2, 1]"
147,5,"[391, 157, 450, 318]",31,"[0, -2]"
148,5,"[390, 157, 450, 315]",31,"[-1, 0]"
149,5,"[388, 158, 448, 315]",30,"[-2, 1]"
150,5,"[386, 158, 444, 317]",29,"[-2, 0]"
151,5,"[384, 160, 443, 316]",29,"[-2, 2]"
152,5,"[380, 161, 439, 318]",27,"[-4, 1]"
153,5,"[375, 160, 440, 318]",27,"[-5, -1]"
154,5,"[369, 157, 433, 318]",25,"[-6, -3]"
155,5,"[367, 157, 434, 319]",25,"[-2, 0]"
156,5,"[366, 157, 434, 322]",25,"[-1, 0]"
157,5,"[363, 157, 433, 321]",24,"[-3, 0]"
158,5,"[361, 158, 432, 318]",23,"[-2, 1]"
159,5,"[362, 158, 431, 319]",23,"[1, 0]"
160,5,"[361, 157, 428, 321]",23,"[-1, -1]"
161,5,"[359, 157, 424, 326]",22,"[-2, 0]"
162,5,"[354, 158, 422, 326]",21,"[-5, 1]"
163,5,"[348, 158, 423, 327]",20,"[-6, 0]"
164,5,"[345, 156, 424, 327]",20,"[-3, -2]"
165,5,"[342, 154, 422, 331]",19,"[-3, -2]"
166,5,"[339, 153, 419, 341]",18,"[-3, -1]"
167,5,"[337, 152, 419, 343]",18,"[-2, -1]"
168,5,"[339, 147, 416, 347]",17,"[2, -5]"
169,5,"[340, 153, 416, 337]",18,"[1, 6]"
170,5,"[339, 149, 414, 340]",17,"[-1, -4]"
171,5,"[337, 145, 411, 347]",16,"[-2, -4]"
172,5,"[332, 138, 402, 358]",14,"[-5, -7]"
173,5,"[325, 148, 401, 350]",13,"[-7, 10]"
174,5,"[322, 145, 398, 352]",12,"[-3, -3]"
175,5,"[316, 146, 396, 352]",11,"[-6, 1]"
176,5,"[311, 142, 394, 358]",10,"[-5, -4]"
177,5,"[306, 143, 394, 357]",9,"[-5, 1]"
178,5,"[304, 140, 394, 362]",9,"[-2, -3]"
179,5,"[304, 127, 391, 371]",8,"[0, -13]"
180,5,"[305, 128, 388, 369]",8,"[1, 1]"
181,5,"[302, 130, 383, 369]",7,"[-3, 2]"
182,5,"[299, 122, 371, 378]",4,"[-3, -8]"
183,5,"[292, 121, 371, 380]",3,"[-7, -1]"
184,5,"[282, 118, 372, 379]",2,"[-10, -3]"
185,5,"[277, 115, 369, 383]",0,"[-5, -3]"
186,5,"[266, 124, 363, 388]",-1,"[-11, 9]"
187,5,"[259, 128, 363, 387]",-2,"[-7, 4]"
188,5,"[256, 130, 357, 386]",-4,"[-3, 2]"
189,5,"[254, 128, 357, 389]",-4,"[-2, -2]"
190,5,"[254, 107, 348, 409]",-5,"[0, -21]"
191,5,"[248, 108, 342, 405]",-7,"[-6, 1]"
192,5,"[240, 109, 334, 404]",-10,"[-8, 1]"
193,5,"[234, 107, 330, 408]",-11,"[-6, -2]"
194,5,"[228, 102, 320, 414]",-14,"[-6, -5]"
195,5,"[212, 100, 313, 424]",-17,"[-16, -2]"
196,5,"[190, 99, 313, 423]",-21,"[-22, -1]"
197,5,"[180, 98, 307, 428]",-23,"[-10, -1]"
198,5,"[178, 101, 302, 436]",-25,"[-2, 3]"
199,5,"[171, 81, 291, 446]",-27,"[-7, -20]"
200,5,"[172, 76, 282, 452]",-29,"[1, -5]"
201,5,"[165, 87, 274, 439]",-31,"[-7, 11]"
202,5,"[159, 86, 270, 443]",-32,"[-6, -1]"
203,5,"[158, 90, 263, 445]",-34,"[-1, 4]"
204,5,"[135, 76, 249, 462]",-40,"[-23, -14]"
205,5,"[117, 69, 240, 469]",-44,"[-18, -7]"
206,5,"[96, 68, 219, 472]",-50,"[-21, -1]"
207,5,"[74, 67, 205, 469]",-56,"[-22, -1]"
208,5,"[57, 71, 198, 471]",-60,"[-17, 4]"
209,5,"[55, 48, 179, 480]",-63,"[-2, -23]"
210,5,"[55, 29, 166, 480]",-65,"[0, -19]"
211,5,"[27, 96, 154, 480]",-71,"[-28, 67]"
212
213
214
215
216
217
218
219
220
221
222
223
224
225
226
227
228
229
230
231
232
233
234
235
236
237
238
239
240
241
242
243
244
245,4,"[541, 69, 631, 428]",83
246,4,"[525, 74, 632, 444]",80,"[-16, 5]"
247,4,"[493, 61, 605, 459]",71,"[-32, -13]"
248,4,"[466, 84, 594, 429]",65,"[-27, 23]"
249,4,"[442, 92, 589, 423]",61,"[-24, 8]"
250,4,"[434, 110, 587, 406]",59,"[-8, 18]"
251
252
253,4,"[404, 75, 482, 423]",38
254,4,"[361, 99, 477, 398]",30,"[-43, 24]"
255,4,"[342, 99, 475, 413]",27,"[-19, 0]"
256,4,"[322, 106, 465, 407]",22,"[-20, 7]"
257,4,"[307, 93, 405, 405]",11,"[-15, -13]"
258,4,"[294, 69, 385, 447]",6,"[-13, -24]"
259,4,"[264, 89, 366, 426]",-1,"[-30, 20]"
260,4,"[221, 93, 359, 422]",-9,"[-43, 4]"
261,4,"[213, 100, 359, 419]",-10,"[-8, 7]"
262,4,"[210, 88, 341, 427]",-13,"[-3, -12]"
263,4,"[191, 84, 290, 429]",-24,"[-19, -4]"
264,4,"[161, 84, 256, 429]",-34,"[-30, 0]"
265,4,"[112, 93, 247, 424]",-43,"[-49, 9]"
266,4,"[86, 89, 240, 433]",-49,"[-26, -4]"
267,4,"[78, 86, 218, 434]",-53,"[-8, -3]"
268,4,"[67, 90, 160, 431]",-64,"[-11, 4]"
269,4,"[34, 74, 143, 454]",-72,"[-33, -16]"
270,4,"[17, 86, 137, 440]",-75,"[-17, 12]"
271
272
273
274
275
276,2,"[0, 138, 86, 454]",-86
277,2,"[7, 153, 120, 462]",-80,"[7, 15]"
278,2,"[20, 160, 149, 456]",-73,"[13, 7]"
279,2,"[21, 157, 153, 461]",-72,"[1, -3]"
280,2,"[26, 153, 166, 468]",-70,"[5, -4]"
281,2,"[58, 156, 166, 462]",-65,"[32, 3]"
282,2,"[79, 156, 174, 458]",-60,"[21, 0]"
283,2,"[88, 140, 201, 478]",-54,"[9, -16]"
284
285,2,"[109, 145, 246, 468]",-44
286,2,"[116, 144, 230, 475]",-45,"[7, -1]"
287,2,"[116, 137, 238, 480]",-44,"[0, -7]"
288,2,"[121, 132, 249, 480]",-42,"[5, -5]"
289,2,"[127, 136, 259, 475]",-39,"[6, 4]"
290,2,"[129, 134, 254, 475]",-40,"[2, -2]"
291,2,"[129, 131, 241, 480]",-42,"[0, -3]"
292,2,"[124, 149, 233, 471]",-44,"[-5, 18]"
293,2,"[109, 137, 221, 480]",-48,"[-15, -12]"
294
295,2,"[78, 131, 200, 480]",-56
296,2,"[58, 146, 179, 468]",-62,"[-20, 15]"
297,2,"[31, 140, 165, 473]",-69,"[-27, -6]"
298,2,"[23, 136, 164, 477]",-70,"[-8, -4]"
299,2,"[17, 139, 154, 473]",-73,"[-6, 3]"
300
301,2,"[3, 135, 96, 454]",-84
302
303
304
305
306
307
308
309
310
311
312
313
314
315
316
317
318
319
320
321
322
323
324
325
326
327
328
329
330
331
332
333
334
335
336
337
338
339
340
341
342
343
344
345
346
347
348
349,1,"[556, 141, 640, 397]",86
350,1,"[537, 153, 637, 390]",83,"[-19, 12]"
351,1,"[530, 148, 623, 431]",80,"[-7, -5]"
352,1,"[505, 155, 599, 426]",72,"[-25, 7]"
353,1,"[488, 156, 572, 389]",65,"[-17, 1]"
354,1,"[475, 150, 549, 385]",60,"[-13, -6]"
355,1,"[451, 151, 532, 387]",53,"[-24, 1]"
356,1,"[411, 150, 523, 391]",45,"[-40, -1]"
357,1,"[386, 155, 513, 386]",40,"[-25, 5]"
358,1,"[368, 155, 498, 386]",35,"[-18, 0]"
359,1,"[356, 157, 481, 381]",30,"[-12, 2]"
360,1,"[357, 158, 459, 375]",27,"[1, 1]"
361,1,"[322, 148, 444, 472]",19,"[-35, -10]"
362
363,1,"[306, 129, 420, 459]",13
364,1,"[292, 146, 406, 473]",9,"[-14, 17]"
365
366,1,"[266, 141, 372, 457]",0
367,1,"[248, 129, 351, 480]",-6,"[-18, -12]"
368,1,"[214, 130, 338, 460]",-13,"[-34, 1]"
369,1,"[184, 132, 315, 464]",-22,"[-30, 2]"
370,1,"[157, 141, 305, 457]",-27,"[-27, 9]"
371,1,"[154, 124, 287, 475]",-31,"[-3, -17]"
372,1,"[141, 129, 274, 468]",-35,"[-13, 5]"
373,1,"[131, 114, 258, 477]",-39,"[-10, -15]"
374,1,"[106, 110, 250, 477]",-44,"[-25, -4]"
375,1,"[78, 113, 219, 475]",-53,"[-28, 3]"
376,1,"[34, 106, 203, 480]",-62,"[-44, -7]"
377,1,"[34, 110, 192, 472]",-64,"[0, 4]"
378,1,"[12, 104, 158, 476]",-73,"[-22, -6]"
379,1,"[0, 121, 119, 460]",-81,"[-12, 17]"
380,1,"[0, 107, 100, 469]",-84,"[0, -14]"
381,1,"[1, 68, 85, 480]",-86,"[1, -39]"
382
383
384
385
386
387
388
389
390
391
392
393
394
395
396
397
398
399
400
401
402
403
404
405
406
407
408
409
410
411
412
413
414
415
416
417
418
419
420
421
422
423
424
425
426
427
428
429
430
431
432
433
434
435
436,0,"[536, 147, 640, 480]",83
437,0,"[535, 151, 640, 475]",83,"[-1, 4]"
438,0,"[520, 149, 639, 480]",81,"[-15, -2]"
439,0,"[486, 163, 634, 472]",75,"[-34, 14]"
440,0,"[444, 154, 615, 475]",65,"[-42, -9]"
441,0,"[386, 136, 598, 480]",53,"[-58, -18]"
442,0,"[331, 137, 574, 478]",41,"[-55, 1]"
443,0,"[294, 129, 554, 469]",32,"[-37, -8]"
444,0,"[258, 124, 532, 474]",23,"[-36, -5]"
445,0,"[270, 119, 503, 479]",20,"[12, -5]"
446,0,"[263, 111, 461, 480]",13,"[-7, -8]"
447,0,"[227, 99, 430, 480]",2,"[-36, -12]"
448,0,"[183, 103, 405, 474]",-8,"[-44, 4]"
449,0,"[191, 100, 372, 477]",-12,"[8, -3]"
450,0,"[153, 97, 340, 477]",-22,"[-38, -3]"
451,0,"[94, 99, 288, 473]",-40,"[-59, 2]"
452,0,"[60, 86, 251, 480]",-51,"[-34, -13]"
453,0,"[25, 56, 225, 480]",-60,"[-35, -30]"
454,0,"[14, 43, 204, 480]",-65,"[-11, -13]"
455,0,"[3, 29, 166, 480]",-73,"[-11, -14]"
456,0,"[0, 36, 153, 480]",-76,"[-3, 7]"
457,0,"[0, 58, 101, 472]",-84,"[0, 22]"
458
459
460
461
462
463
464
465
466
467
468
469
470
471
472
473
474
475
476
477
478
479
480
481
482
483
484
485
486
487
488
489
490
491
492
493
494
495
496
497
498
499
500
501
502
503
504
505
506
507
508
509
510
511
512
513
514
515
516
517
518
519
520
521
522
523
524
525
526
527
528
529
530
531
532
533
534
535
536
537
538
539
540
541
542
543
544
545
546
547
548
549
550
551
552
553
554
555
556
557
558
559
560
561
562
563
564
565
566
567
568
569
570
571
572
573
574
575
576
577
578
579
580
581
582
583
584
585
586
587
588
589
590
591
592
593
594
595
596
597
598
599
